掉落ID	注释	随机策略	随机次数	子掉落ID	子掉落ID权重
110010	小动物兽肉（小）掉落			1100100	10000
110011	小动物兽肉（大）掉落			1100110	10000
110020	小动物禽肉（小）掉落			1100200	10000
110021	小动物禽肉（大）掉落			1100210	10000
180001	主线1级怪物			1800010	10000
180002	主线2级怪物			1800020	10000
181001	1-5级普通挑战（大型宝箱）宝箱产物	2		4032210	10000
181001	1-5级普通挑战（大型宝箱）宝箱产物	2		4032211	10000
181001	1-5级普通挑战（大型宝箱）宝箱产物	2		1810010	10000
181002	1-5级中级营地（大型宝箱）宝箱产物	2		4031210	10000
181002	1-5级中级营地（大型宝箱）宝箱产物	2		4031211	10000
181002	1-5级中级营地（大型宝箱）宝箱产物	2		1810010	10000
190001	烹饪任务掉落			1900010	10000
190002	凯亚支线任务掉落			1900020	10000
200601	怪物掉落-风元素结晶			200601	10000
200701	时间碎片掉落-普通宝箱			200701	10000
200702	时间碎片掉落-营地宝箱			200702	10000
200703	时间碎片掉落-黄金宝箱			200703	10000
200704	时间碎片掉落-普通怪			200704	10000
200705	时间碎片掉落-精英怪			200705	10000
201000	测试掉落			201000	10000
201001	根-兽类动物			201001	10000
201002	根-丘丘王任务掉落			201002	10000
201003	根-无属性球掉落			201003	10000
201004	根-火属性球掉落			201004	10000
201005	丘丘圣山测试掉落1			201005	10000
201006	丘丘圣山测试掉落2			201006	10000
201007	丘丘圣山测试掉落3			201007	10000
201008	根-鸟类动物			201008	10000
210101	铁矿石			2101010	10000
210201	锡矿石			2102010	10000
210301	秘银矿			2103010	10000
210401	水晶矿			2104010	10000
211001	木棉花果实			2110010	10000
211101	电气岩结晶			2111010	10000
211201	烈焰花掉落			2112010	10000
211301	冰雾花掉落			2113010	10000
212101	元素密虫-火受击			2121010	10000
212201	元素密虫-水受击			2122010	10000
212301	元素密虫-冰受击			2123010	10000
212401	元素密虫-电受击			2124010	10000
212501	元素密虫-草受击			2125010	10000
212601	元素密虫-岩受击			2126010	10000
212701	元素密虫-风受击			2127010	10000
303101	1-5级据点精英级怪物死亡掉落	2		3031010	10000
303102	6-10级据点精英级怪物死亡掉落	2		3031020	10000
303103	11-15级据点精英级怪物死亡掉落	2		3031030	10000
303104	16-18级据点精英级怪物死亡掉落	2		3031040	10000
303105	20-23级据点精英级怪物死亡掉落	2		3031050	10000
303121	1-5级据点boss级怪物死亡掉落	2		3031210	10000
303122	6-10级据点boss级怪物死亡掉落	2		3031220	10000
303123	11-15级据点boss级怪物死亡掉落	2		3031230	10000
303124	16-18级据点boss级怪物死亡掉落	2		3031240	10000
303125	20-23级据点boss级怪物死亡掉落	2		3031250	10000
303141	1-5级创生精英怪物死亡掉落	2		3031410	10000
303142	6-10级创生精英怪物死亡掉落	2		3031420	10000
303143	11-15级创生精英怪物死亡掉落	2		3031430	10000
303144	16-18级创生精英怪物死亡掉落	2		3031440	10000
303145	20-23级创生精英怪物死亡掉落	2		3031450	10000
303101	1-5级据点精英级怪物死亡掉落	2		4103	2000
303102	6-10级据点精英级怪物死亡掉落	2		4103	2000
303103	11-15级据点精英级怪物死亡掉落	2		4101	2000
303104	16-18级据点精英级怪物死亡掉落	2		4101	2000
303105	20-23级据点精英级怪物死亡掉落	2		4101	2000
303121	1-5级据点boss级怪物死亡掉落	2		4103	4000
303122	6-10级据点boss级怪物死亡掉落	2		4103	4000
303123	11-15级据点boss级怪物死亡掉落	2		4102	4000
303124	16-18级据点boss级怪物死亡掉落	2		4102	4000
303125	20-23级据点boss级怪物死亡掉落	2		4102	4000
303141	1-5级创生精英怪物死亡掉落	2		4103	4000
303142	6-10级创生精英怪物死亡掉落	2		4103	4000
303143	11-15级创生精英怪物死亡掉落	2		4102	4000
303144	16-18级创生精英怪物死亡掉落	2		4102	4000
303145	20-23级创生精英怪物死亡掉落	2		4102	4000
303001	1-5级据点小怪死亡掉落			3030010	10000
303002	6-10级据点小怪死亡掉落			3030020	10000
303003	11-15级据点小怪死亡掉落			3030030	10000
303004	16-18级据点小怪死亡掉落			3030040	10000
303005	20-23级据点小怪死亡掉落			3030050	10000
303041	1-5级创生小怪死亡掉落			3030410	10000
303042	6-10级创生小怪死亡掉落			3030420	10000
303043	11-15级创生小怪死亡掉落			3030430	10000
303044	16-18级创生小怪死亡掉落			3030440	10000
303045	20-23级创生小怪死亡掉落			3030450	10000
400001	灌木掉落			4000010	10000
400002	草堆掉落			4000020	4000
400101	搜刮宝箱掉落			4001010	10000
400102	丘丘人木桶掉落-循环	2		4001020	1500
400102	丘丘人木桶掉落-循环	2		4011	4200
400103	丘丘人木桶掉落-循环	2		4001030	1500
400103	丘丘人木桶掉落-循环	2		4011	4200
400104	丘丘人木桶掉落-循环	2		4001040	1500
400104	丘丘人木桶掉落-循环	2		4011	4200
403020	神殿旧址-风龙泪滴宝箱	2		4030200	10000
403021	丘丘圣山-风龙泪滴宝箱	2		4030210	10000
403022	风龙地城-风龙泪滴宝箱	2		4030220	10000
403020	神殿旧址-风龙泪滴宝箱	2		4030201	10000
403021	丘丘圣山-风龙泪滴宝箱	2		4030211	10000
403022	风龙地城-风龙泪滴宝箱	2		2003	10000
500001	临时角色卡扭蛋掉落			5000010	10000
946201	凯亚寻宝任务掉落			9462010	10000
937501	教堂地下室任务宝箱-可循环	2		9375010	10000
937501	教堂地下室任务宝箱-可循环	2		4011	2000
1000701	芭芭拉任务地城普通宝箱			10007010	10000
1000702	芭芭拉任务地城通关宝箱			10007020	10000
1100201	丽莎任务地城普通宝箱			11002010	10000
1100202	丽莎任务地城通关宝箱			11002020	10000
1300101	迷雾迷宫地城普通宝箱			13001010	10000
1300102	迷雾迷宫地城黄金宝箱			13001020	10000
1300201	英雄试炼地城通关宝箱			13002010	10000
1000100	凯亚教学地城通关宝箱	2		10001000	10000
1100100	安柏教学地城通关宝箱	2		11001000	10000
1100300	丽莎教学地城通关宝箱	2		11003000	10000
1001000	风龙泪滴副本通关宝箱	2		10010000	10000
1400100	安柏常驻地城通关宝箱	2		14001000	10000
1400200	凯亚常驻地城通关宝箱	2		14002000	10000
1400300	丽莎常驻地城通关宝箱	2		14003000	10000
1400400	神殿旧址地城通关宝箱	2		14004000	10000
1400700	酒庄地城通关宝箱	2		14007000	10000
1400800	清泉镇地城通关宝箱	2		14008000	10000
1400900	奔狼岭地城通关宝箱	2		14009000	10000
1400600	远岛地城通关宝箱	2		14006000	10000
1400500	丘丘圣山地城通关宝箱	2		14005000	10000
1200000	凯亚支线地城通关宝箱	2		12000000	10000
1000104	凯亚教学地城精致宝箱	2		10001040	10000
1100304	丽莎教学地城精致宝箱	2		11003040	10000
1001004	风龙泪滴副本精致宝箱	2		10010040	10000
1400604	远岛地城精致宝箱	2		14006040	10000
1000102	凯亚教学地城中宝箱	2		10001020	10000
1100102	安柏教学地城中宝箱	2		11001020	10000
1100302	丽莎教学地城中宝箱	2		11003020	10000
1001002	风龙泪滴副本中宝箱	2		10010020	10000
1400302	丽莎常驻地城中宝箱	2		14003020	10000
1400402	神殿旧址地城中宝箱	2		14004020	10000
1400702	酒庄地城中宝箱	2		14007020	10000
1400602	远岛地城中宝箱	2		14006020	10000
1400502	丘丘圣山地城中宝箱	2		14005020	10000
1200002	凯亚支线地城中宝箱	2		12000020	10000
1100301	丽莎教学地城小宝箱	2		11003010	10000
1001001	风龙泪滴副本小宝箱	2		10010010	10000
1400201	凯亚常驻地城小宝箱	2		14002010	10000
1400301	丽莎常驻地城小宝箱	2		14003010	10000
1400401	神殿旧址地城小宝箱	2		14004010	10000
1400901	奔狼岭地城小宝箱	2		14009010	10000
1400601	远岛地城小宝箱	2		14006010	10000
1200001	凯亚支线地城小宝箱	2		12000010	10000
1100100	安柏教学地城通关宝箱	2		11001001	10000
1100300	丽莎教学地城通关宝箱	2		11003001	10000
1001000	风龙泪滴副本通关宝箱	2		2003	10000
1400100	安柏常驻地城通关宝箱	2		14001001	10000
1400200	凯亚常驻地城通关宝箱	2		14002001	10000
1400700	酒庄地城通关宝箱	2		14007001	10000
1400800	清泉镇地城通关宝箱	2		14008001	10000
1400300	丽莎常驻地城通关宝箱	2		2101	10000
1400400	神殿旧址地城通关宝箱	2		2102	10000
1400900	奔狼岭地城通关宝箱	2		2103	10000
1400600	远岛地城通关宝箱	2		2104	10000
1400500	丘丘圣山地城通关宝箱	2		2105	10000
1000104	凯亚教学地城精致宝箱	2		10001041	10000
1100304	丽莎教学地城精致宝箱	2		11003041	10000
1001004	风龙泪滴副本精致宝箱	2		10010041	10000
1400604	远岛地城精致宝箱	2		14006041	10000
1000102	凯亚教学地城中宝箱	2		10001021	10000
1100102	安柏教学地城中宝箱	2		11001021	10000
1100302	丽莎教学地城中宝箱	2		11003021	10000
1001002	风龙泪滴副本中宝箱	2		10010021	10000
1400302	丽莎常驻地城中宝箱	2		14003021	10000
1400402	神殿旧址地城中宝箱	2		14004021	10000
1400702	酒庄地城中宝箱	2		14007021	10000
1400602	远岛地城中宝箱	2		14006021	10000
1400502	丘丘圣山地城中宝箱	2		14005021	10000
1200002	凯亚支线地城中宝箱	2		12000021	7000
1100301	丽莎教学地城小宝箱	2		11003011	3000
1001001	风龙泪滴副本小宝箱	2		10010011	3000
1400201	凯亚常驻地城小宝箱	2		14002011	3000
1400301	丽莎常驻地城小宝箱	2		14003011	3000
1400401	神殿旧址地城小宝箱	2		14004011	3000
1400901	奔狼岭地城小宝箱	2		14009011	3000
1400601	远岛地城小宝箱	2		14006011	3000
1200001	凯亚支线地城小宝箱	2		12000011	3000
1000104	凯亚教学地城精致宝箱	2		4002	1000
1100304	丽莎教学地城精致宝箱	2		4002	1000
1001004	风龙泪滴副本精致宝箱	2		4002	1000
1400604	远岛地城精致宝箱	2		4002	1000
1000102	凯亚教学地城中宝箱	2		4001	3000
1100102	安柏教学地城中宝箱	2		4001	3000
1100302	丽莎教学地城中宝箱	2		4001	3000
1001002	风龙泪滴副本中宝箱	2		4001	3000
1400302	丽莎常驻地城中宝箱	2		4001	3000
1400402	神殿旧址地城中宝箱	2		4001	3000
1400702	酒庄地城中宝箱	2		4001	3000
1400602	远岛地城中宝箱	2		4001	3000
1400502	丘丘圣山地城中宝箱	2		4001	3000
1200002	凯亚支线地城中宝箱	2		4001	3000
1100301	丽莎教学地城小宝箱	2		4001	3000
1001001	风龙泪滴副本小宝箱	2		4001	3000
1400201	凯亚常驻地城小宝箱	2		4001	3000
1400301	丽莎常驻地城小宝箱	2		4001	3000
1400401	神殿旧址地城小宝箱	2		4001	3000
1400901	奔狼岭地城小宝箱	2		4001	3000
1400601	远岛地城小宝箱	2		4001	3000
1200001	凯亚支线地城小宝箱	2		4001	3000
1000104	凯亚教学地城精致宝箱	2		2001	667
1100304	丽莎教学地城精致宝箱	2		2001	667
1001004	风龙泪滴副本精致宝箱	2		2001	667
1400604	远岛地城精致宝箱	2		2001	667
1000104	凯亚教学地城精致宝箱	2		2003	333
1100304	丽莎教学地城精致宝箱	2		2003	333
1001004	风龙泪滴副本精致宝箱	2		2003	333
1400604	远岛地城精致宝箱	2		2003	333
1000109	凯亚教学地城元素能量	2		10001090	10000
1100109	安柏教学地城元素能量	2		11001090	10000
1100309	丽莎教学地城元素能量	2		11003090	10000
1200009	凯亚支线地城元素能量	2		12000090	10000
403100	新手低级营地	2		4031000	10000
403101	1-5低级营地	2		4031010	10000
403102	6-8低级营地	2		4031020	10000
403103	11-15低级营地	2		4031030	10000
403104	16-18低级营地	2		4031040	10000
403105	20-23低级营地	2		4031050	10000
403120	新手中级营地	2		4031200	10000
403121	1-5中级营地	2		4031210	10000
403122	6-8中级营地	2		4031220	10000
403123	11-15中级营地	2		4031230	10000
403124	16-18中级营地	2		4031240	10000
403125	20-23中级营地	2		4031250	10000
403140	新手高级营地	2		4031400	10000
403141	1-5高级营地	2		4031410	10000
403142	6-8高级营地	2		4031420	10000
403143	11-15高级营地	2		4031430	10000
403144	16-18高级营地	2		4031440	10000
403145	20-23高级营地	2		4031450	10000
403220	新手普通挑战	2		4032200	10000
403221	1-5普通挑战	2		4032210	10000
403222	6-8普通挑战	2		4032220	10000
403223	11-15普通挑战	2		4032230	10000
403224	16-18普通挑战	2		4032240	10000
403225	20-23普通挑战	2		4032250	10000
403240	新手精英挑战	2		4032400	10000
403241	1-5精英挑战	2		4032410	10000
403242	6-8精英挑战	2		4032420	10000
403243	11-15精英挑战	2		4032430	10000
403244	16-18精英挑战	2		4032440	10000
403245	20-23精英挑战	2		4032450	10000
403300	新手普通宝箱	2		4033000	10000
403301	1-5普通宝箱	2		4033010	10000
403302	6-8普通宝箱	2		4033020	10000
403303	11-15普通宝箱	2		4033030	10000
403304	16-18普通宝箱	2		4033040	10000
403305	20-23普通宝箱	2		4033050	10000
403320	新手品质宝箱	2		4033200	10000
403321	1-5品质宝箱	2		4033210	10000
403322	6-8品质宝箱	2		4033220	10000
403323	11-15品质宝箱	2		4033230	10000
403324	16-18品质宝箱	2		4033240	10000
403325	20-23品质宝箱	2		4033250	10000
403340	新手封印宝箱	2		4033400	10000
403341	1-5封印宝箱	2		4033410	10000
403342	6-8封印宝箱	2		4033420	10000
403343	11-15封印宝箱	2		4033430	10000
403344	16-18封印宝箱	2		4033440	10000
403345	20-23封印宝箱	2		4033450	10000
403100	新手低级营地	2		4031001	10000
403101	1-5低级营地	2		4031011	10000
403102	6-8低级营地	2		4031021	10000
403103	11-15低级营地	2		4031031	10000
403104	16-18低级营地	2		4031041	10000
403105	20-23低级营地	2		4031051	10000
403120	新手中级营地	2		4031201	10000
403121	1-5中级营地	2		4031211	10000
403122	6-8中级营地	2		4031221	10000
403123	11-15中级营地	2		4031231	10000
403124	16-18中级营地	2		4031241	10000
403125	20-23中级营地	2		4031251	10000
403140	新手高级营地	2		4031401	10000
403141	1-5高级营地	2		4031411	10000
403142	6-8高级营地	2		4031421	10000
403143	11-15高级营地	2		4031431	10000
403144	16-18高级营地	2		4031441	10000
403145	20-23高级营地	2		4031451	10000
403220	新手普通挑战	2		4032201	10000
403221	1-5普通挑战	2		4032211	10000
403222	6-8普通挑战	2		4032221	10000
403223	11-15普通挑战	2		4032231	10000
403224	16-18普通挑战	2		4032241	10000
403225	20-23普通挑战	2		4032251	10000
403240	新手精英挑战	2		4032401	10000
403241	1-5精英挑战	2		4032411	10000
403242	6-8精英挑战	2		4032421	10000
403243	11-15精英挑战	2		4032431	10000
403244	16-18精英挑战	2		4032441	10000
403245	20-23精英挑战	2		4032451	10000
403300	新手普通宝箱	2		4033001	10000
403301	1-5普通宝箱	2		4033011	10000
403302	6-8普通宝箱	2		4033021	10000
403303	11-15普通宝箱	2		4033031	10000
403304	16-18普通宝箱	2		4033041	10000
403305	20-23普通宝箱	2		4033051	10000
403320	新手品质宝箱	2		4033201	10000
403321	1-5品质宝箱	2		4033211	10000
403322	6-8品质宝箱	2		4033221	10000
403323	11-15品质宝箱	2		4033231	10000
403324	16-18品质宝箱	2		4033241	10000
403325	20-23品质宝箱	2		4033251	10000
403340	新手封印宝箱	2		4033401	10000
403341	1-5封印宝箱	2		4033411	10000
403342	6-8封印宝箱	2		4033421	10000
403343	11-15封印宝箱	2		4033431	10000
403344	16-18封印宝箱	2		4033441	10000
403345	20-23封印宝箱	2		4033451	10000
403102	6-8低级营地圣遗物	2		2000	2000
403103	11-15低级营地圣遗物	2		2011	4000
403104	16-18低级营地圣遗物	2		2012	4000
403105	20-23低级营地圣遗物	2		2012	4000
403122	6-8中级营地随机包	2		2000	3000
403123	11-15中级营地随机包	2		2021	6000
403124	16-18中级营地随机包	2		2022	6000
403125	20-23中级营地随机包	2		2022	6000
403142	6-8高级营地随机包	2		2000	5000
403143	11-15高级营地随机包	2		2031	10000
403144	16-18高级营地随机包	2		2032	10000
403145	20-23高级营地随机包	2		2032	10000
403222	6-8普通挑战随机包	2		2000	2000
403223	11-15普通挑战随机包	2		2011	4000
403224	16-18普通挑战随机包	2		2012	4000
403225	20-23普通挑战随机包	2		2012	4000
403242	6-8精英挑战随机包	2		2000	3000
403243	11-15精英挑战随机包	2		2021	6000
403244	16-18精英挑战随机包	2		2022	6000
403245	20-23精英挑战随机包	2		2022	6000
403342	6-8封印宝箱随机包	2		2000	2000
403343	11-15封印宝箱随机包	2		2011	4000
403344	16-18封印宝箱随机包	2		2012	4000
403345	20-23封印宝箱随机包	2		2012	4000
403102	6-8低级营地武器	2		4101	2000
403103	11-15低级营地随机包	2		4102	2000
403104	16-18低级营地随机包	2		4102	2000
403105	20-23低级营地随机包	2		4102	2000
403122	6-8中级营地随机包	2		4101	2000
403123	11-15中级营地随机包	2		4102	2000
403124	16-18中级营地随机包	2		4102	2000
403125	20-23中级营地随机包	2		4102	2000
403142	6-8高级营地随机包	2		4101	2000
403143	11-15高级营地随机包	2		4102	2000
403144	16-18高级营地随机包	2		4102	2000
403145	20-23高级营地随机包	2		4102	2000
403222	6-8普通挑战随机包	2		4101	2000
403223	11-15普通挑战随机包	2		4102	2000
403224	16-18普通挑战随机包	2		4102	2000
403225	20-23普通挑战随机包	2		4102	2000
403242	6-8精英挑战随机包	2		4101	2000
403243	11-15精英挑战随机包	2		4102	2000
403244	16-18精英挑战随机包	2		4102	2000
403245	20-23精英挑战随机包	2		4102	2000
403322	6-8品质宝箱随机包	2		4101	1500
403323	11-15品质宝箱随机包	2		4101	1500
403324	16-18品质宝箱随机包	2		4101	1500
403325	20-23品质宝箱随机包	2		4101	1500
403342	6-8封印宝箱随机包	2		4101	2000
403343	11-15封印宝箱随机包	2		4102	2000
403344	16-18封印宝箱随机包	2		4102	2000
403345	20-23封印宝箱随机包	2		4102	2000
303000	1-5级新手据点小怪死亡掉落			3030010	10000
403101	1-5低级营地	2		4031012	10000
403102	6-8低级营地	2		4031022	10000
403103	11-15低级营地	2		4031032	10000
403104	16-18低级营地	2		4031042	10000
403105	20-23低级营地	2		4031052	10000
403121	1-5中级营地	2		4031212	10000
403122	6-8中级营地	2		4031222	10000
403123	11-15中级营地	2		4031232	10000
403124	16-18中级营地	2		4031242	10000
403125	20-23中级营地	2		4031252	10000
403141	1-5高级营地	2		4031412	10000
403142	6-8高级营地	2		4031422	10000
403143	11-15高级营地	2		4031432	10000
403144	16-18高级营地	2		4031442	10000
403145	20-23高级营地	2		4031452	10000
403221	1-5普通挑战	2		4032212	10000
403222	6-8普通挑战	2		4032222	10000
403223	11-15普通挑战	2		4032232	10000
403224	16-18普通挑战	2		4032242	10000
403225	20-23普通挑战	2		4032252	10000
403241	1-5精英挑战	2		4032412	10000
403242	6-8精英挑战	2		4032422	10000
403243	11-15精英挑战	2		4032432	10000
403244	16-18精英挑战	2		4032442	10000
403245	20-23精英挑战	2		4032452	10000
403301	1-5普通宝箱	2		4033012	10000
403302	6-8普通宝箱	2		4033022	10000
403303	11-15普通宝箱	2		4033032	10000
403304	16-18普通宝箱	2		4033042	10000
403305	20-23普通宝箱	2		4033052	10000
403321	1-5品质宝箱	2		4033212	10000
403322	6-8品质宝箱	2		4033222	10000
403323	11-15品质宝箱	2		4033232	10000
403324	16-18品质宝箱	2		4033242	10000
403325	20-23品质宝箱	2		4033252	10000
403341	1-5封印宝箱	2		4033412	10000
403342	6-8封印宝箱	2		4033422	10000
403343	11-15封印宝箱	2		4033432	10000
403344	16-18封印宝箱	2		4033442	10000
403345	20-23封印宝箱	2		4033452	10000
403263	酒庄特殊宝箱	2		4032630	10000
403264	丘丘圣山特殊宝箱	2		4032640	10000
403265	风龙特殊宝箱	2		4032650	10000
403263	酒庄特殊宝箱	2		4032631	10000
403264	丘丘圣山特殊宝箱	2		4032641	10000
403265	风龙特殊宝箱	2		4032651	10000
403263	酒庄特殊宝箱	2		4032632	10000
403264	丘丘圣山特殊宝箱	2		4032642	10000
403265	风龙特殊宝箱	2		4032652	10000
403283	剑冢特殊宝箱	2		4032830	10000
1300400	联机副本通关宝箱	2		13004000	10000
1300401	联机副本小宝箱	2		13004010	10000
1300402	联机副本中宝箱	2		13004020	10000
1300404	联机副本精致宝箱	2		13004040	10000
1300400	联机副本通关宝箱	2		2331	10000
1300401	联机副本小宝箱	2		13004011	10000
1300402	联机副本中宝箱	2		13004021	10000
1300404	联机副本精致宝箱	2		13004041	10000
1300401	联机副本小宝箱	2		4001	3000
1300402	联机副本中宝箱	2		4001	3000
1300404	联机副本精致宝箱	2		4002	1000
1300404	联机副本精致宝箱	2		2003	1000
303126	30级据点boss级怪物死亡掉落	2		3031260	10000
303126	30级据点boss级怪物死亡掉落	2		4102	4000
