子掉落ID	随机策略	随机次数	道具掉落ID	道具掉落权重	道具掉落数量区间
200803	2		51150	10000	1
201000	2		100018	10000	1
201000	2		100020	10000	1
201000	2		100052	10000	1
201000	2		100053	10000	1
201000	2		100054	10000	1
201000	2		100061	10000	1
201000	2		100062	10000	1
201000	2		100063	10000	1
201000	2		202	10000	10,100
201000	2		100011	10000	1
201000	2		100013	10000	1
201000	2		11101	10000	1
201000	2		12101	10000	1
201000	2		13101	10000	1
201000	2		14101	10000	1
201000	2		15101	10000	1
201000	2		11201	10000	1
201000	2		12201	10000	1
201000	2		13201	10000	1
201000	2		14201	10000	1
201000	2		15201	10000	1
201000	2		11301	10000	1
201000	2		12301	10000	1
201000	2		13301	10000	1
201000	2		14301	10000	1
201000	2		15301	10000	1
201000	2		11401	10000	1
201000	2		12401	10000	1
201000	2		13401	10000	1
201000	2		14401	10000	1
201000	2		15401	10000	1
201000	2		59124	10000	1
201000	2		59224	10000	1
201000	2		59324	10000	1
201000	2		59424	10000	1
201000	2		60124	10000	1
201000	2		60224	10000	1
201000	2		60324	10000	1
201000	2		60424	10000	1
201000	2		59154	10000	1
201000	2		59254	10000	1
201000	2		59354	10000	1
201000	2		59454	10000	1
201000	2		60154	10000	1
201000	2		60254	10000	1
201000	2		60354	10000	1
201000	2		60454	10000	1
201001			100061	1000	1
201002			100005	1000	1
201003			2024	1000	4
201003			2008	1500	1
201004			2024	1000	4
201004			2008	1500	1
201005			100152	10000	1
201006			100153	10000	1
201007			100154	10000	1
201008			100064	1000	1
2101010			101001	10000	1
2102010			101001	10000	1
2103010			101002	10000	1
2104010			101003	10000	1
2110010			100052	10000	1
2111010			100054	10000	1
2112010			100053	10000	1
2113010			100052	10000	1
2121010			2001	1000	1
2122010			2002	1000	1
2123010			2006	1000	1
2124010			2004	1000	1
2125010			2003	1000	1
2126010			2007	1000	1
2127010			2005	1000	1
3031010			202	10000	5,15
3031020			202	10000	5,15
3031030			202	10000	10,30
3031040			202	10000	10,30
3031050			202	10000	15,45
3031210			202	10000	10,30
3031220			202	10000	10,30
3031230			202	10000	15,45
3031240			202	10000	15,45
3031250			202	10000	20,60
3031410			202	10000	10,30
3031420			202	10000	10,30
3031430			202	10000	15,45
3031440			202	10000	15,45
3031450			202	10000	20,60
3030010			202	10000	5,10
3030020			202	10000	5,10
3030030			202	10000	5,15
3030040			202	10000	5,15
3030050			202	10000	10,20
3030410			202	10000	5,15
3030420			202	10000	5,15
3030430			202	10000	10,20
3030440			202	10000	10,20
3030450			202	10000	15,30
4000010			202	100	5,10
4000010			2008	100	1
4000010			100020	1000	1
4000010			100063	1000	1
4000030			100053	10000	1
4000040			100054	10000	1
4001010			100018	10000	1
4001010			100020	10000	1
4001010			100052	10000	1
4001010			100053	10000	1
4001010			100054	10000	1
4001010			100061	10000	1
4001010			100062	10000	1
4001010			100063	10000	1
4001010			202	10000	10,100
4001010			202	10000	10,100
4001020			202	1500	10,20
4001030			202	1000	10,20
4001040			202	1000	15,30
4001030			104011	500	1
4001040			104011	500	1
4030200			100158	10000	1
4030210			100159	10000	1
4030220			100160	10000	1
5000010			1002	1000	1
5000010			1003	200	1
5000010			1006	1000	1
5000010			1014	1000	1
5000010			1015	1000	1
5000010			1016	200	1
5000010			1020	1000	1
5000010			1021	1000	1
5000010			1022	200	1
5000010			1023	1000	1
9462010			100173	10000	1
9375010	2		202	10000	10,30
9375010	2		104001	2000	1
10007010			202	10000	10,100
10007010			202	10000	10,100
10007010			202	10000	10,100
10007010			202	10000	10,100
10007010			202	10000	10,100
10007010			202	10000	10,100
10007010			201	1000	5
10007010			104001	10000	1
10007010			104011	10000	1
10007020	2		54211	10000	1
10007020	2		54231	10000	1
11002010			201	10000	40
11002010			202	10000	10,100
11002010			202	10000	10,100
11002010			202	10000	10,100
11002010			202	10000	10,100
11002010			202	10000	10,100
11002010			202	10000	10,100
11002010			201	1000	5
11002010			104001	10000	1
11002010			104011	10000	1
11002020			202	10000	10,100
11002020			202	10000	10,100
11002020			202	10000	10,100
11002020			202	10000	10,100
11002020			202	10000	10,100
11002020			202	10000	10,100
11002020			201	1000	5
11002020			201	500	10
11002020			201	100	20
11002020			104111	10000	2
11002020			104121	10000	2
11002020			104141	10000	2
11002020			104151	10000	2
11002020			104161	10000	2
11002020			104171	10000	2
13001010			51110	10000	1
13001010			51111	2000	1
13001010			51120	10000	1
13001010			51121	2000	1
13001010			51130	10000	1
13001010			51131	2000	1
13001010			51140	10000	1
13001010			51141	2000	1
13001010			51150	10000	1
13001010			51151	2000	1
13001010			52110	10000	1
13001010			52111	2000	1
13001010			52120	10000	1
13001010			52121	2000	1
13001010			52130	10000	1
13001010			52131	2000	1
13001010			52140	10000	1
13001010			52141	2000	1
13001010			52150	10000	1
13001010			52151	2000	1
13001010			53110	10000	1
13001010			53111	2000	1
13001010			53120	10000	1
13001010			53121	2000	1
13001010			53130	10000	1
13001010			53131	2000	1
13001010			53140	10000	1
13001010			53141	2000	1
13001010			53150	10000	1
13001010			53151	2000	1
13001010			54210	10000	1
13001010			54211	2000	1
13001010			54220	10000	1
13001010			54221	2000	1
13001010			54230	10000	1
13001010			54231	2000	1
13001010			54240	10000	1
13001010			54241	2000	1
13001010			54250	10000	1
13001010			54251	2000	1
13001010			55210	10000	1
13001010			55211	2000	1
13001010			55220	10000	1
13001010			55221	2000	1
13001010			55230	10000	1
13001010			55231	2000	1
13001010			55240	10000	1
13001010			55241	2000	1
13001010			55250	10000	1
13001010			55251	2000	1
13001010			104001	10000	2
13001010			104011	10000	2
13001020			51111	10000	1
13001020			51112	2000	1
13001020			51121	10000	1
13001020			51122	2000	1
13001020			51131	10000	1
13001020			51132	2000	1
13001020			51141	10000	1
13001020			51142	2000	1
13001020			51151	10000	1
13001020			51152	2000	1
13001020			52111	10000	1
13001020			52112	2000	1
13001020			52121	10000	1
13001020			52122	2000	1
13001020			52131	10000	1
13001020			52132	2000	1
13001020			52141	10000	1
13001020			52142	2000	1
13001020			52151	10000	1
13001020			52152	2000	1
13001020			53111	10000	1
13001020			53112	2000	1
13001020			53121	10000	1
13001020			53122	2000	1
13001020			53131	10000	1
13001020			53132	2000	1
13001020			53141	10000	1
13001020			53142	2000	1
13001020			53151	10000	1
13001020			53152	2000	1
13001020			54211	10000	1
13001020			54212	2000	1
13001020			54221	10000	1
13001020			54222	2000	1
13001020			54231	10000	1
13001020			54232	2000	1
13001020			54241	10000	1
13001020			54242	2000	1
13001020			54251	10000	1
13001020			54252	2000	1
13001020			55211	10000	1
13001020			55212	2000	1
13001020			55221	10000	1
13001020			55222	2000	1
13001020			55231	10000	1
13001020			55232	2000	1
13001020			55241	10000	1
13001020			55242	2000	1
13001020			55251	10000	1
13001020			55252	2000	1
13001020			104001	10000	4
13001020			104011	10000	4
13001020			104001	10000	8
13001020			104011	10000	8
13001020			201	10000	20
13002010			201	10000	40
1009			2006	2000	2
1009			2001	2000	2
1009			2005	2000	2
1009			2020	2000	2
1009			2002	2000	2
4001			100001	3000	2,3
4001			100011	2000	2,3
4001			100013	1500	2,3
4001			100017	2000	2,3
4001			100018	1500	2,3
4011			100001	3000	1,2
4011			100011	2000	1
4011			100013	1500	1
4011			100017	2000	1
4011			100018	1500	1
4002			100020	2500	2,3
4002			100051	2500	2,3
4002			100061	2000	1,3
4002			100062	1000	1,3
4002			100064	2000	1,3
2000			20002	5000	1
2000			20004	5000	1
2001			60131	68	1
2001			60151	68	1
2001			52131	102	1
2001			52151	102	1
2001			59131	102	1
2001			59151	102	1
2001			60121	102	1
2001			60141	102	1
2001			60130	132	1
2001			60150	132	1
2001			52121	153	1
2001			52141	153	1
2001			59121	153	1
2001			59141	153	1
2001			52130	198	1
2001			52150	198	1
2001			59130	198	1
2001			59150	198	1
2001			60120	198	1
2001			60140	198	1
2001			51131	204	1
2001			51151	204	1
2001			53131	204	1
2001			53151	204	1
2001			52120	297	1
2001			52140	297	1
2001			59120	297	1
2001			59140	297	1
2001			51121	306	1
2001			51141	306	1
2001			53121	306	1
2001			53141	306	1
2001			51130	396	1
2001			51150	396	1
2001			53130	396	1
2001			53150	396	1
2001			51120	594	1
2001			51140	594	1
2001			53120	594	1
2001			53140	594	1
2002			51110	317	1
2002			51111	163	1
2002			51120	515	1
2002			51121	265	1
2002			51130	317	1
2002			51131	163	1
2002			51140	515	1
2002			51141	265	1
2002			51150	317	1
2002			51151	163	1
2002			52110	158	1
2002			52111	82	1
2002			52120	257	1
2002			52121	133	1
2002			52130	158	1
2002			52131	82	1
2002			52140	257	1
2002			52141	133	1
2002			52150	158	1
2002			52151	82	1
2002			53110	317	1
2002			53111	163	1
2002			53120	515	1
2002			53121	265	1
2002			53130	317	1
2002			53131	163	1
2002			53140	515	1
2002			53141	265	1
2002			53150	317	1
2002			53151	163	1
2002			59110	158	1
2002			59111	82	1
2002			59120	257	1
2002			59121	133	1
2002			59130	158	1
2002			59131	82	1
2002			59140	257	1
2002			59141	133	1
2002			59150	158	1
2002			59151	82	1
2002			60110	106	1
2002			60111	54	1
2002			60120	172	1
2002			60121	88	1
2002			60130	106	1
2002			60131	54	1
2002			60140	172	1
2002			60141	88	1
2002			60150	106	1
2002			60151	54	1
2003			52232	27	1
2003			52252	27	1
2003			54232	27	1
2003			54252	27	1
2003			55232	27	1
2003			55252	27	1
2003			60232	27	1
2003			60252	27	1
2003			62232	27	1
2003			62252	27	1
2003			63252	30	1
2003			59232	34	1
2003			59252	34	1
2003			61232	34	1
2003			61252	34	1
2003			63232	34	1
2003			52222	41	1
2003			52242	41	1
2003			54222	41	1
2003			54242	41	1
2003			55222	41	1
2003			55242	41	1
2003			60222	41	1
2003			60242	41	1
2003			62222	41	1
2003			62242	41	1
2003			51232	51	1
2003			51252	51	1
2003			53232	51	1
2003			53252	51	1
2003			59222	51	1
2003			59242	51	1
2003			61222	51	1
2003			61242	51	1
2003			63222	51	1
2003			63242	51	1
2003			52231	53	1
2003			52251	53	1
2003			54231	53	1
2003			54251	53	1
2003			55231	53	1
2003			55251	53	1
2003			60231	53	1
2003			60251	53	1
2003			62231	53	1
2003			62251	53	1
2003			59231	66	1
2003			59251	66	1
2003			61231	66	1
2003			61251	66	1
2003			63231	66	1
2003			63251	66	1
2003			51222	77	1
2003			51242	77	1
2003			53222	77	1
2003			53242	77	1
2003			52221	79	1
2003			52241	79	1
2003			54221	79	1
2003			54241	79	1
2003			55221	79	1
2003			55241	79	1
2003			60221	79	1
2003			60241	79	1
2003			62221	79	1
2003			62241	79	1
2003			52230	80	1
2003			52250	80	1
2003			54230	80	1
2003			54250	80	1
2003			55230	80	1
2003			55250	80	1
2003			60230	80	1
2003			60250	80	1
2003			62230	80	1
2003			62250	80	1
2003			51231	99	1
2003			51251	99	1
2003			53231	99	1
2003			53251	99	1
2003			59221	99	1
2003			59241	99	1
2003			61221	99	1
2003			61241	99	1
2003			63221	99	1
2003			63241	99	1
2003			59230	100	1
2003			59250	100	1
2003			61230	100	1
2003			61250	100	1
2003			63230	100	1
2003			63250	100	1
2003			52220	120	1
2003			52240	120	1
2003			54220	120	1
2003			54240	120	1
2003			55220	120	1
2003			55240	120	1
2003			60220	120	1
2003			60240	120	1
2003			62220	120	1
2003			62240	120	1
2003			51221	149	1
2003			51241	149	1
2003			53221	149	1
2003			53241	149	1
2003			51230	150	1
2003			51250	150	1
2003			53230	150	1
2003			53250	150	1
2003			59220	150	1
2003			59240	150	1
2003			61220	150	1
2003			61240	150	1
2003			63220	150	1
2003			63240	150	1
2003			51220	225	1
2003			51240	225	1
2003			53220	225	1
2003			53240	225	1
2004			51210	120	1
2004			51211	79	1
2004			51212	41	1
2004			52210	64	1
2004			52211	42	1
2004			52212	22	1
2004			53210	120	1
2004			53211	79	1
2004			53212	41	1
2004			54210	64	1
2004			54211	42	1
2004			54212	22	1
2004			55210	64	1
2004			55211	42	1
2004			55212	22	1
2004			59210	80	1
2004			59211	53	1
2004			59212	27	1
2004			60210	64	1
2004			60211	42	1
2004			60212	22	1
2004			61210	80	1
2004			61211	53	1
2004			61212	27	1
2004			62210	64	1
2004			62211	42	1
2004			62212	22	1
2004			63210	80	1
2004			63211	53	1
2004			63212	27	1
2004			51230	120	1
2004			51231	79	1
2004			51232	41	1
2004			52230	64	1
2004			52231	42	1
2004			52232	22	1
2004			53230	120	1
2004			53231	79	1
2004			53232	41	1
2004			54230	64	1
2004			54231	42	1
2004			54232	22	1
2004			55230	64	1
2004			55231	42	1
2004			55232	22	1
2004			59230	80	1
2004			59231	53	1
2004			59232	27	1
2004			60230	64	1
2004			60231	42	1
2004			60232	22	1
2004			61230	80	1
2004			61231	53	1
2004			61232	27	1
2004			62230	64	1
2004			62231	42	1
2004			62232	22	1
2004			63230	80	1
2004			63231	53	1
2004			63232	27	1
2004			51240	195	1
2004			51241	129	1
2004			51242	66	1
2004			52240	104	1
2004			52241	69	1
2004			52242	35	1
2004			53240	195	1
2004			53241	129	1
2004			53242	66	1
2004			54240	104	1
2004			54241	69	1
2004			54242	35	1
2004			55240	104	1
2004			55241	69	1
2004			55242	35	1
2004			59240	130	1
2004			59241	86	1
2004			59242	44	1
2004			60240	104	1
2004			60241	69	1
2004			60242	35	1
2004			61240	130	1
2004			61241	86	1
2004			61242	44	1
2004			62240	104	1
2004			62241	69	1
2004			62242	35	1
2004			63240	130	1
2004			63241	86	1
2004			63242	44	1
2004			51250	120	1
2004			51251	79	1
2004			51252	41	1
2004			52250	64	1
2004			52251	42	1
2004			52252	22	1
2004			53250	120	1
2004			53251	79	1
2004			53252	41	1
2004			54250	64	1
2004			54251	42	1
2004			54252	22	1
2004			55250	64	1
2004			55251	42	1
2004			55252	22	1
2004			59250	80	1
2004			59251	53	1
2004			59252	27	1
2004			60250	64	1
2004			60251	42	1
2004			60252	22	1
2004			61250	80	1
2004			61251	53	1
2004			61252	27	1
2004			62250	64	1
2004			62251	42	1
2004			62252	22	1
2004			63250	80	1
2004			63251	53	1
2004			63252	27	1
2004			51220	195	1
2004			51221	129	1
2004			51222	66	1
2004			52220	104	1
2004			52221	69	1
2004			52222	35	1
2004			53220	195	1
2004			53221	129	1
2004			53222	66	1
2004			54220	104	1
2004			54221	69	1
2004			54222	35	1
2004			55220	104	1
2004			55221	69	1
2004			55222	35	1
2004			59220	130	1
2004			59221	86	1
2004			59222	44	1
2004			60220	104	1
2004			60221	69	1
2004			60222	35	1
2004			61220	130	1
2004			61221	86	1
2004			61222	44	1
2004			62220	104	1
2004			62221	69	1
2004			62222	35	1
2004			63220	130	1
2004			63221	86	1
2004			63222	44	1
2105		2	51210	750	1
2105		2	51211	495	1
2105		2	51212	255	1
2105		2	52210	400	1
2105		2	52211	264	1
2105		2	52212	136	1
2105		2	53210	750	1
2105		2	53211	495	1
2105		2	53212	255	1
2105		2	54210	400	1
2105		2	54211	264	1
2105		2	54212	136	1
2105		2	55210	400	1
2105		2	55211	264	1
2105		2	55212	136	1
2105		2	59210	500	1
2105		2	59211	330	1
2105		2	59212	170	1
2105		2	60210	400	1
2105		2	60211	264	1
2105		2	60212	136	1
2105		2	61210	500	1
2105		2	61211	330	1
2105		2	61212	170	1
2105		2	62210	400	1
2105		2	62211	264	1
2105		2	62212	136	1
2105		2	63210	500	1
2105		2	63211	330	1
2105		2	63212	170	1
2104		2	51230	750	1
2104		2	51231	495	1
2104		2	51232	255	1
2104		2	52230	400	1
2104		2	52231	264	1
2104		2	52232	136	1
2104		2	53230	750	1
2104		2	53231	495	1
2104		2	53232	255	1
2104		2	54230	400	1
2104		2	54231	264	1
2104		2	54232	136	1
2104		2	55230	400	1
2104		2	55231	264	1
2104		2	55232	136	1
2104		2	59230	500	1
2104		2	59231	330	1
2104		2	59232	170	1
2104		2	60230	400	1
2104		2	60231	264	1
2104		2	60232	136	1
2104		2	61230	500	1
2104		2	61231	330	1
2104		2	61232	170	1
2104		2	62230	400	1
2104		2	62231	264	1
2104		2	62232	136	1
2104		2	63230	500	1
2104		2	63231	330	1
2104		2	63232	170	1
2101		2	51240	750	1
2101		2	51241	495	1
2101		2	51242	255	1
2101		2	52240	400	1
2101		2	52241	264	1
2101		2	52242	136	1
2101		2	53240	750	1
2101		2	53241	495	1
2101		2	53242	255	1
2101		2	54240	400	1
2101		2	54241	264	1
2101		2	54242	136	1
2101		2	55240	400	1
2101		2	55241	264	1
2101		2	55242	136	1
2101		2	59240	500	1
2101		2	59241	330	1
2101		2	59242	170	1
2101		2	60240	400	1
2101		2	60241	264	1
2101		2	60242	136	1
2101		2	61240	500	1
2101		2	61241	330	1
2101		2	61242	170	1
2101		2	62240	400	1
2101		2	62241	264	1
2101		2	62242	136	1
2101		2	63240	500	1
2101		2	63241	330	1
2101		2	63242	170	1
2103		2	51250	750	1
2103		2	51251	495	1
2103		2	51252	255	1
2103		2	52250	400	1
2103		2	52251	264	1
2103		2	52252	136	1
2103		2	53250	750	1
2103		2	53251	495	1
2103		2	53252	255	1
2103		2	54250	400	1
2103		2	54251	264	1
2103		2	54252	136	1
2103		2	55250	400	1
2103		2	55251	264	1
2103		2	55252	136	1
2103		2	59250	500	1
2103		2	59251	330	1
2103		2	59252	170	1
2103		2	60250	400	1
2103		2	60251	264	1
2103		2	60252	136	1
2103		2	61250	500	1
2103		2	61251	330	1
2103		2	61252	170	1
2103		2	62250	400	1
2103		2	62251	264	1
2103		2	62252	136	1
2103		2	63250	500	1
2103		2	63251	330	1
2103		2	63252	170	1
2102		2	51220	750	1
2102		2	51221	495	1
2102		2	51222	255	1
2102		2	52220	400	1
2102		2	52221	264	1
2102		2	52222	136	1
2102		2	53220	750	1
2102		2	53221	495	1
2102		2	53222	255	1
2102		2	54220	400	1
2102		2	54221	264	1
2102		2	54222	136	1
2102		2	55220	400	1
2102		2	55221	264	1
2102		2	55222	136	1
2102		2	59220	136	1
2102		2	59221	330	1
2102		2	59222	170	1
2102		2	60220	400	1
2102		2	60221	264	1
2102		2	60222	136	1
2102		2	61220	500	1
2102		2	61221	330	1
2102		2	61222	170	1
2102		2	62220	400	1
2102		2	62221	264	1
2102		2	62222	136	1
2102		2	63220	500	1
2102		2	63221	330	1
2102		2	63222	170	1
10001000	2		202	10000	110
11001000	2		202	10000	110
11003000	2		202	10000	110
10010000	2		202	10000	160
14001000	2		202	10000	130
14002000	2		202	10000	140
14003000	2		202	10000	145
14004000	2		202	10000	150
14007000	2		202	10000	160
14008000	2		202	10000	160
14009000	2		202	10000	165
14006000	2		202	10000	2050
14005000	2		202	10000	1800
12000000	2		202	10000	140
10001000	2		102	10000	40
11001000	2		102	10000	40
11003000	2		102	10000	40
10010000	2		102	10000	150
14001000	2		102	10000	20
14002000	2		102	10000	25
14003000	2		102	10000	30
14004000	2		102	10000	32
14007000	2		102	10000	36
14008000	2		102	10000	48
14009000	2		102	10000	40
14006000	2		102	10000	90
14005000	2		102	10000	52
12000000	2		102	10000	100
10001000	2		201	10000	10
11001000	2		201	10000	10
11003000	2		201	10000	10
10010000	2		201	10000	10
14001000	2		201	2000	10
14002000	2		201	2000	10
14003000	2		201	2000	10
14004000	2		201	2000	10
14007000	2		201	2000	10
14008000	2		201	2000	10
14009000	2		201	2000	10
14006000	2		201	2000	10
14005000	2		201	2000	10
12000000	2		201	10000	10
11001001	2		15201	10000	1
11003001	2		14201	10000	1
14001001	2		104002	10000	2
14002001	2		104012	10000	1
14007001	2		104002	10000	4
14008001	2		104012	10000	2
10001040			202	9000	20,40
11003040			202	9000	30,50
10010040			202	9000	40,70
14006040			202	9000	40,70
10001040			201	1000	5
11003040			201	1000	5
10010040			201	1000	5
14006040			201	1000	5
10001041			104011	5000	2
11003041			104011	5000	2
10010041			104011	5000	4
14006041			104011	5000	4
10001041			104001	2500	2
11003041			104001	2500	2
10010041			104001	2500	4
14006041			104001	2500	4
10001090			2006	10000	2
11001090			2001	10000	2
11003090			2020	10000	2
12000090			2006	10000	2
10001020			202	10000	20,30
11001020			202	10000	20,30
11003020			202	10000	20,30
10010020			202	10000	20,40
14003020			202	10000	20,40
14004020			202	10000	20,40
14007020			202	10000	20,40
14006020			202	10000	30,50
14005020			202	10000	30,50
12000020			202	10000	20,40
13004000	2		202	10000	2800
13004010	2		202	10000	40,80
13004020	2		202	10000	90,180
13004040	2		202	10000	145,290
13004000	2		101	10000	400
13004000	2		102	10000	100
13004011			104001	3000	2
13004021			104001	3500	2
13004041			104001	4000	4
13004021			104011	3500	2
13004041			104011	4000	4
10001021			104011	3000	1
11001021			104011	3000	1
11003021			104011	3000	1
10010021			104011	3000	2
14003021			104011	3000	1
14004021			104011	3000	1
14007021			104011	3000	2
14006021			104011	3000	2
14005021			104011	3000	2
12000021			104011	3000	1
10001021			104001	2000	1
11001021			104001	2000	1
11003021			104001	2000	1
10010021			104001	2000	2
14003021			104001	2000	1
14004021			104001	2000	1
14007021			104001	2000	2
14006021			104001	2000	2
14005021			104001	2000	2
12000021			104001	2000	1
11003010			202	10000	10,20
10010010			202	10000	10,20
14002010			202	10000	10,20
14003010			202	10000	10,20
14004010			202	10000	10,20
14009010			202	10000	10,20
14006010			202	10000	10,20
12000010			202	10000	10,20
11003011			104001	1000	1
10010011			104001	1000	2
14002011			104001	1000	1
14003011			104001	1000	1
14004011			104001	1000	1
14009011			104001	1000	2
14006011			104001	1000	2
12000011			104001	1000	1
4031000	2		102	10000	10
4031010	2		102	10000	10
4031020	2		102	10000	15
4031030	2		102	10000	15
4031040	2		102	10000	20
4031050	2		102	10000	20
4031200	2		102	10000	20
4031210	2		102	10000	20
4031220	2		102	10000	30
4031230	2		102	10000	30
4031240	2		102	10000	40
4031250	2		102	10000	40
4031400	2		102	10000	30
4031410	2		102	10000	30
4031420	2		102	10000	45
4031430	2		102	10000	45
4031440	2		102	10000	60
4031450	2		102	10000	60
4032200	2		102	10000	10
4032210	2		102	10000	10
4032220	2		102	10000	15
4032230	2		102	10000	15
4032240	2		102	10000	20
4032250	2		102	10000	20
4032400	2		102	10000	20
4032410	2		102	10000	20
4032420	2		102	10000	30
4032430	2		102	10000	30
4032440	2		102	10000	40
4032450	2		102	10000	40
4033000	2		102	10000	5
4033010	2		102	10000	5
4033020	2		102	10000	5
4033030	2		102	10000	5
4033040	2		102	10000	5
4033050	2		102	10000	5
4033200	2		102	10000	5
4033210	2		102	10000	5
4033220	2		102	10000	10
4033230	2		102	10000	10
4033240	2		102	10000	10
4033250	2		102	10000	10
4033400	2		102	10000	10
4033410	2		102	10000	10
4033420	2		102	10000	15
4033430	2		102	10000	15
4033440	2		102	10000	20
4033450	2		102	10000	20
4031000	2		101	10000	300
4031010	2		101	10000	300
4031020	2		101	10000	450
4031030	2		101	10000	450
4031040	2		101	10000	600
4031050	2		101	10000	600
4031200	2		101	10000	600
4031210	2		101	10000	600
4031220	2		101	10000	900
4031230	2		101	10000	900
4031240	2		101	10000	1200
4031250	2		101	10000	1200
4031400	2		101	10000	900
4031410	2		101	10000	900
4031420	2		101	10000	1350
4031430	2		101	10000	1350
4031440	2		101	10000	1800
4031450	2		101	10000	1800
4032200	2		101	10000	300
4032210	2		101	10000	300
4032220	2		101	10000	450
4032230	2		101	10000	450
4032240	2		101	10000	600
4032250	2		101	10000	600
4032400	2		101	10000	600
4032410	2		101	10000	600
4032420	2		101	10000	900
4032430	2		101	10000	900
4032440	2		101	10000	1200
4032450	2		101	10000	1200
4033000	2		101	10000	75
4033010	2		101	10000	75
4033020	2		101	10000	115
4033030	2		101	10000	115
4033040	2		101	10000	150
4033050	2		101	10000	150
4033200	2		101	10000	150
4033210	2		101	10000	150
4033220	2		101	10000	225
4033230	2		101	10000	225
4033240	2		101	10000	300
4033250	2		101	10000	300
4033400	2		101	10000	300
4033410	2		101	10000	300
4033420	2		101	10000	450
4033430	2		101	10000	450
4033440	2		101	10000	600
4033450	2		101	10000	600
4031000	2		305	10000	1
4031010	2		305	10000	1
4031020	2		305	10000	1
4031030	2		305	10000	1
4031040	2		305	10000	1
4031050	2		305	10000	1
4031200	2		305	10000	2
4031210	2		305	10000	2
4031220	2		305	10000	2
4031230	2		305	10000	2
4031240	2		305	10000	2
4031250	2		305	10000	2
4031400	2		305	10000	3
4031410	2		305	10000	3
4031420	2		305	10000	3
4031430	2		305	10000	3
4031440	2		305	10000	3
4031450	2		305	10000	3
4032200	2		305	10000	1
4032210	2		305	10000	1
4032220	2		305	10000	1
4032230	2		305	10000	1
4032240	2		305	10000	1
4032250	2		305	10000	1
4032400	2		305	10000	2
4032410	2		305	10000	2
4032420	2		305	10000	2
4032430	2		305	10000	2
4032440	2		305	10000	2
